Knapsack-size-in-%,Cache-id,Num-of-hits,Num-of-miss,Hit-rate,Knapsack-items
20,0,3069,894,0.774413,446
20,1,3129,1321,0.703146,446
20,2,2902,912,0.760881,446
20,3,2657,881,0.750989,446
20,4,2978,857,0.776532,446
20,5,3640,788,0.822042,446
20,6,3264,813,0.800589,445
20,7,2871,909,0.759524,445
20,8,3369,927,0.784218,445
20,9,3167,851,0.788203,445
20,10,31046,9153,0.772308,4460
20,0,2745,1218,0.692657,122
20,1,2595,1855,0.583146,104
20,2,2516,1298,0.659675,123
20,3,2283,1255,0.64528,114
20,4,2455,1380,0.640156,118
20,5,3194,1234,0.721319,108
20,6,2773,1304,0.680157,113
20,7,2397,1383,0.634127,104
20,8,2845,1451,0.662244,100
20,9,2724,1294,0.677949,110
20,10,26527,13672,0.659892,10
18,0,2651,1312,0.668938,110
18,1,2541,1909,0.571011,90
18,2,2482,1332,0.65076,112
18,3,2251,1287,0.636235,101
18,4,2379,1456,0.620339,111
18,5,3124,1304,0.70551,101
18,6,2750,1327,0.674516,104
18,7,2347,1433,0.620899,97
18,8,2804,1492,0.6527,96
18,9,2661,1357,0.66227,98
18,10,25990,14209,0.646533,10
16,0,2584,1379,0.652031,99
16,1,2454,1996,0.551461,81
16,2,2426,1388,0.636078,103
16,3,2182,1356,0.616733,91
16,4,2347,1488,0.611995,97
16,5,3077,1351,0.694896,91
16,6,2703,1374,0.662987,92
16,7,2295,1485,0.607143,88
16,8,2720,1576,0.633147,84
16,9,2611,1407,0.649826,88
16,10,25399,14800,0.631832,10
14,0,2484,1479,0.626798,83
14,1,2392,2058,0.537528,68
14,2,2380,1434,0.624017,90
14,3,2154,1384,0.608819,84
14,4,2303,1532,0.600522,87
14,5,2913,1515,0.657859,77
14,6,2621,1456,0.642875,82
14,7,2241,1539,0.592857,78
14,8,2676,1620,0.622905,76
14,9,2579,1439,0.641862,78
14,10,24743,15456,0.615513,10
12,0,2382,1581,0.60106,71
12,1,2313,2137,0.519775,54
12,2,2345,1469,0.61484,79
12,3,2086,1452,0.589599,73
12,4,2265,1570,0.590613,73
12,5,2805,1623,0.633469,65
12,6,2429,1648,0.595781,72
12,7,2109,1671,0.557936,69
12,8,2604,1692,0.606145,65
12,9,2476,1542,0.616227,69
12,10,23814,16385,0.592403,10
10,0,2336,1627,0.589452,64
10,1,2155,2295,0.48427,41
10,2,2293,1521,0.601206,66
10,3,2029,1509,0.573488,59
10,4,2202,1633,0.574185,63
10,5,2414,2014,0.545167,51
10,6,2260,1817,0.554329,56
10,7,1919,1861,0.507672,54
10,8,2440,1856,0.56797,52
10,9,2386,1632,0.593828,60
10,10,22434,17765,0.558074,10
8,0,2140,1823,0.539995,48
8,1,1909,2541,0.428989,33
8,2,2193,1621,0.574987,49
8,3,1855,1683,0.524307,41
8,4,2083,1752,0.543155,49
8,5,2156,2272,0.486902,39
8,6,2034,2043,0.498896,47
8,7,1772,2008,0.468783,42
8,8,2171,2125,0.505354,44
8,9,2166,1852,0.539074,48
8,10,20479,19720,0.509441,10
6,0,1841,2122,0.464547,36
6,1,1588,2862,0.356854,27
6,2,1916,1898,0.50236,36
6,3,1478,2060,0.41775,30
6,4,1770,2065,0.461538,33
6,5,1834,2594,0.414182,31
6,6,1752,2325,0.429728,38
6,7,1510,2270,0.399471,32
6,8,1660,2636,0.386406,34
6,9,1831,2187,0.455699,35
6,10,17180,23019,0.427374,10
4,0,1517,2446,0.382791,25
4,1,1150,3300,0.258427,19
4,2,1595,2219,0.418196,31
4,3,1062,2476,0.30017,21
4,4,1476,2359,0.384876,26
4,5,1464,2964,0.330623,24
4,6,1365,2712,0.334805,24
4,7,1203,2577,0.318254,22
4,8,1277,3019,0.297253,24
4,9,1306,2712,0.325037,23
4,10,13415,26784,0.333715,10
2,0,1039,2924,0.262175,16
2,1,719,3731,0.161573,14
2,2,1112,2702,0.291557,17
2,3,694,2844,0.196156,14
2,4,985,2850,0.256845,19
2,5,854,3574,0.192864,14
2,6,985,3092,0.241599,19
2,7,784,2996,0.207407,16
2,8,884,3412,0.205773,15
2,9,834,3184,0.207566,13
2,10,8890,31309,0.22115,10
